CustomerID,Customer_Segment,Acquisition_Date,Age,Gender,Job_Category,Annual_Income,Education_Level,Marital_Status,Household_Size,Product,Quantity,Unit_Price,Discount_Applied,Payment_Method,Revenue,Customer_Lifetime_Value,Profit_Margin,Loyalty_Score,Loyalty_Tier,Customer_Satisfaction,Purchase_Frequency,Days_Since_Last_Purchase,Newsletter_Subscribed,Support_Tickets,Email_Open_Rate,Social_Media_Engagement,Purchase_Date,Purchase_Hour,Season,Is_Weekend,Days_to_Next_Purchase,Churned,Churn_Risk_Score,Return_Rate,Payment_Delay_Days,Customer_Acquisition_Cost,Marketing_Channel,First_Purchase_Channel,Net_Revenue,Revenue_per_Unit,CLV_to_CAC_Ratio,Engagement_Score,Profitability_Score,Age_Group,Revenue_Tier,Seasonal_Factor,Purchase_Month,Purchase_Quarter,Purchase_Year,Days_Since_Acquisition,Acquisition_Month,Cohort_Index
C00011,Regular,2023-06-19,35,Female,Manufacturing,30856,Master,Divorced,3,Product_E,1,243.85,0.104,Credit Card,760,15378,0.359,28.2,Silver,1.2,1,1,0,1,0.555,0.008,2023-03-31,11,Summer,0,30,1,81.1,0.015,5,50,Email,Online,680.96,760.0,307.56,0.368,5.46,31-45,Medium,0.9,3,1,2023,-80,2023-06,-3
C00012,New,2023-04-19,35,Female,Healthcare,25000,High School,Married,1,Product_C,3,72.58,0.277,Credit Card,3801,10454,0.427,39.7,Silver,3.5,2,18,1,2,0.133,0.005,2024-08-27,14,Winter,0,74,1,66.6,0.068,0,67,Social,Online,2748.123,1267.0,156.03,0.432,24.22,31-45,Premium,1.4,8,3,2024,496,2023-04,16
C00013,Regular,2023-02-18,45,Female,Finance,25000,Bachelor,Single,2,Product_A,2,80.89,0.331,Credit Card,316,1746,0.506,6.1,Bronze,1.0,6,6,1,0,0.517,0.211,2024-03-08,13,Winter,0,72,0,94.9,0.022,8,121,Social,Online,211.40400000000002,158.0,14.43,0.615,1.32,31-45,Low,1.4,3,1,2024,384,2023-02,13
C00014,Regular,2023-03-11,18,Female,IT,25000,PhD,Married,1,Product_A,3,163.56,0.254,Credit Card,1285,9269,0.413,19.5,Bronze,1.6,4,1,0,1,0.182,0.05,2023-02-02,7,Spring,0,2,0,88.4,0.108,7,95,Social,Online,958.61,428.33,97.57,0.269,5.59,18-30,High,1.2,2,1,2023,-37,2023-03,-1
C00015,Regular,2023-10-29,18,Female,Other,67102,High School,Married,6,Product_B,2,176.27,0.111,PayPal,100,14031,0.486,13.1,Bronze,1.5,8,21,1,4,0.221,0.325,2023-01-31,8,Summer,0,126,1,92.1,0.024,10,71,Referral,App,88.9,50.0,197.62,0.552,0.68,18-30,Low,0.9,1,1,2023,-271,2023-10,-9
C00016,New,2023-04-01,33,Female,Healthcare,25000,High School,Married,2,Product_E,1,44.71,0.223,Bank Transfer,1333,5686,0.439,26.3,Silver,2.4,3,7,1,0,0.335,0.054,2023-04-06,12,Winter,1,40,1,82.9,0.034,2,66,Email,Online,1035.741,1333.0,86.15,0.513,8.87,31-45,High,1.4,4,2,2023,5,2023-04,0
C00017,Regular,2023-08-05,26,Male,Healthcare,108983,PhD,Single,1,Product_D,4,298.71,0.239,Bank Transfer,762,27395,0.34,30.0,Silver,2.1,1,29,0,0,0.439,0.183,2023-08-12,13,Summer,0,43,1,79.1,0.06,2,81,Search,App,579.8820000000001,190.5,338.21,0.371,3.2,18-30,Medium,0.9,8,3,2023,7,2023-08,0
C00018,Regular,2023-08-03,46,Non-binary,Education,41067,High School,Married,3,Product_D,1,17.02,0.249,PayPal,395,3062,0.482,7.1,Bronze,1.0,3,3,1,1,0.541,0.362,2023-08-27,15,Summer,0,12,1,94.6,0.015,18,117,Referral,Store,296.645,395.0,26.17,0.669,1.63,46-60,Low,0.9,8,3,2023,24,2023-08,0
C00019,Regular,2023-03-07,28,Male,Education,44293,PhD,Married,3,Product_D,2,33.15,0.253,PayPal,1349,44704,0.306,51.6,Gold,3.0,4,13,1,1,0.13,0.144,2024-06-01,16,Spring,0,7,1,47.4,0.025,6,156,Referral,Online,1007.703,674.5,286.56,0.475,2.65,18-30,High,1.2,6,2,2024,452,2023-03,15
C00020,Regular,2023-06-11,20,Male,Other,46670,Master,Single,4,Product_E,2,70.35,0.251,PayPal,1268,35632,0.117,62.1,Gold,3.7,6,22,1,0,0.569,0.03,2024-09-08,7,Fall,1,63,0,30.9,0.012,6,50,Search,Store,949.732,634.0,712.64,0.568,2.97,18-30,High,1.1,9,3,2024,455,2023-06,15
C00021,VIP,2023-05-20,63,Female,Other,77927,High School,Married,1,Product_E,2,57.65,0.062,Credit Card,1158,34476,0.465,31.0,Silver,2.6,6,1,1,0,0.634,0.614,2023-01-28,15,Spring,0,72,1,78.0,0.001,2,63,Email,Phone,1086.204,579.0,547.24,0.774,8.55,60+,High,1.2,1,1,2023,-112,2023-05,-4
C00022,VIP,2023-09-11,38,Male,Healthcare,88644,High School,Married,1,Product_B,4,51.98,0.367,PayPal,5434,22845,0.256,34.5,Silver,3.8,11,1,0,1,0.434,0.013,2024-07-28,13,Winter,1,21,1,73.8,0.04,2,50,Social,Online,3439.722,1358.5,456.9,0.334,27.82,31-45,Premium,1.4,7,3,2024,321,2023-09,10
C00023,New,2023-09-18,43,Female,Retail,25000,PhD,Married,1,Product_E,1,48.44,0.116,Credit Card,376,4552,0.18,17.9,Bronze,1.0,3,40,0,0,0.533,0.152,2023-07-23,21,Fall,0,1,1,89.5,0.018,6,100,Search,Online,332.384,376.0,45.52,0.384,0.68,31-45,Low,1.1,7,3,2023,-57,2023-09,-2
C00024,New,2023-01-25,20,Female,Retail,82623,High School,Married,3,Product_A,2,154.44,0.147,Bank Transfer,365,44022,0.596,36.3,Silver,2.6,3,15,1,0,0.428,0.304,2024-10-27,9,Summer,1,23,1,71.3,0.031,11,50,Social,App,311.34499999999997,182.5,880.44,0.611,4.35,18-30,Low,0.9,10,4,2024,641,2023-01,21
C00025,VIP,2023-12-18,33,Male,Education,39835,High School,Divorced,3,Product_D,2,62.94,0.145,Digital Wallet,576,5097,0.237,19.8,Bronze,1.1,11,23,1,0,0.352,0.225,2024-12-19,12,Summer,0,12,1,88.2,0.055,0,50,Social,Online,492.48,288.0,101.94,0.56,2.73,31-45,Medium,0.9,12,4,2024,367,2023-12,12
C00026,Regular,2023-01-17,43,Male,Manufacturing,29671,Bachelor,Divorced,2,Product_B,3,10.75,0.277,Credit Card,322,1967,0.198,12.5,Bronze,1.0,10,6,1,1,0.723,0.276,2024-07-12,18,Fall,0,88,1,92.4,0.06,0,141,Search,Phone,232.80599999999998,107.33,13.95,0.696,0.45,31-45,Low,1.1,7,3,2024,542,2023-01,18
C00027,Regular,2023-10-16,24,Male,Retail,25000,High School,Divorced,3,Product_D,5,179.67,0.15,Bank Transfer,2396,8759,0.574,35.9,Silver,2.2,10,5,1,1,0.151,0.239,2024-03-05,14,Summer,0,97,1,72.0,0.013,2,50,Social,Online,2036.6,479.2,175.18,0.514,27.51,18-30,Premium,0.9,3,1,2024,141,2023-10,5
C00028,Regular,2023-06-17,47,Female,Healthcare,25000,Bachelor,Married,2,Product_A,1,26.68,0.167,PayPal,1154,4882,0.69,19.5,Bronze,2.5,3,11,0,0,0.46,0.402,2023-08-14,8,Spring,0,52,0,88.4,0.078,6,50,Search,Phone,961.2819999999999,1154.0,97.64,0.453,15.93,46-60,High,1.2,8,3,2023,58,2023-06,2
C00029,Regular,2023-09-22,32,Non-binary,Healthcare,25583,High School,Married,8,Product_C,1,168.73,0.169,Credit Card,1353,6865,0.305,21.0,Bronze,2.3,5,92,1,1,0.169,0.036,2024-04-04,12,Summer,1,101,0,87.4,0.048,1,86,Social,Online,1124.3429999999998,1353.0,79.83,0.411,4.8,31-45,High,0.9,4,2,2024,195,2023-09,7
C00030,VIP,2023-01-27,37,Female,Finance,42848,Bachelor,Single,4,Product_B,2,28.17,0.107,PayPal,100,7573,0.732,12.5,Bronze,1.0,5,28,1,0,0.31,0.001,2024-08-26,18,Fall,0,7,1,92.4,0.04,12,144,Search,Online,89.3,50.0,52.59,0.478,0.51,31-45,Low,1.1,8,3,2024,577,2023-01,19
C00031,New,2023-06-06,32,Female,Other,25000,Bachelor,Married,3,Product_E,1,14.89,0.249,Credit Card,316,4978,0.398,13.7,Bronze,1.0,1,36,0,3,0.605,0.0,2023-10-12,18,Summer,0,95,1,91.8,0.025,22,97,Referral,Store,237.316,316.0,51.32,0.362,1.3,31-45,Low,0.9,10,4,2023,128,2023-06,4
C00032,New,2023-01-08,69,Non-binary,Other,136983,Bachelor,Single,1,Product_A,2,133.68,0.328,PayPal,132,23803,0.602,11.1,Bronze,1.5,6,0,0,0,0.474,0.177,2023-01-07,14,Summer,1,25,1,93.0,0.092,0,73,Direct,Store,88.704,66.0,326.07,0.395,1.09,60+,Low,0.9,1,1,2023,-1,2023-01,0
C00033,New,2023-02-16,41,Male,Other,25000,Master,Single,2,Product_E,2,79.71,0.246,Bank Transfer,5595,21315,0.152,50.3,Gold,4.9,9,2,1,2,0.768,0.34,2023-06-13,13,Winter,1,19,1,49.5,0.059,1,133,Social,Online,4218.63,2797.5,160.26,0.731,6.39,31-45,Premium,1.4,6,2,2023,117,2023-02,4
C00034,VIP,2023-05-31,26,Male,Education,34119,High School,Married,3,Product_B,4,30.37,0.233,Credit Card,8324,7524,0.513,26.1,Silver,5.0,3,87,1,0,0.318,0.045,2024-12-15,8,Winter,0,41,1,83.1,0.175,12,106,Social,Store,6384.508,2081.0,70.98,0.461,40.29,18-30,Premium,1.4,12,4,2024,564,2023-05,19
C00035,New,2023-07-17,54,Female,Manufacturing,97212,Bachelor,Married,1,Product_E,1,36.23,0.143,Credit Card,1561,67564,0.268,59.2,Gold,3.3,5,15,0,0,0.095,0.084,2024-03-08,17,Winter,1,8,0,35.1,0.156,17,50,Referral,Online,1337.777,1561.0,1351.28,0.245,8.37,46-60,High,1.4,3,1,2024,235,2023-07,8
C00036,Regular,2023-03-04,23,Female,Finance,76794,Bachelor,Single,4,Product_E,1,32.14,0.141,Credit Card,2003,54127,0.058,56.4,Gold,3.7,2,44,1,2,0.314,0.545,2023-12-15,9,Winter,0,39,0,39.5,0.02,2,253,Direct,App,1720.577,2003.0,213.94,0.634,0.46,18-30,Premium,1.4,12,4,2023,286,2023-03,9
C00037,New,2023-06-11,45,Female,IT,25000,High School,Single,1,Product_D,1,63.07,0.193,PayPal,129,4499,0.199,22.1,Bronze,2.6,15,32,0,0,0.05,0.136,2023-10-12,15,Fall,0,16,1,86.5,0.088,3,144,Search,Store,104.103,129.0,31.24,0.238,0.18,31-45,Low,1.1,10,4,2023,123,2023-06,4
C00038,New,2023-11-08,18,Female,Education,107997,High School,Single,1,Product_C,2,54.17,0.148,Digital Wallet,1795,18103,0.475,23.3,Bronze,1.3,2,45,1,1,0.336,0.001,2023-06-09,12,Spring,0,102,1,85.6,0.044,3,50,Search,Store,1529.34,897.5,362.06,0.476,17.05,18-30,High,1.2,6,2,2023,-152,2023-11,-5
C00039,Regular,2023-08-28,22,Female,Retail,89314,High School,Married,2,Product_E,2,36.25,0.24,Digital Wallet,2925,77712,0.123,60.8,Gold,5.0,1,65,1,1,0.514,0.099,2023-08-09,13,Spring,0,23,0,32.8,0.078,0,114,Email,App,2223.0,1462.5,681.68,0.548,3.16,18-30,Premium,1.2,8,3,2023,-19,2023-08,0
C00040,New,2023-01-07,44,Male,Finance,40642,High School,Single,2,Product_A,3,103.99,0.365,Digital Wallet,223,12240,0.096,15.3,Bronze,1.0,2,15,1,0,0.33,0.295,2023-12-11,18,Fall,0,33,1,91.0,0.048,0,150,Email,App,141.605,74.33,81.6,0.579,0.14,31-45,Low,1.1,12,4,2023,338,2023-01,11
C00041,Regular,2023-01-21,53,Female,Retail,25000,Bachelor,Single,3,Product_A,4,79.61,0.195,Bank Transfer,3761,17028,0.495,56.9,Gold,4.2,2,15,0,4,0.298,0.587,2023-04-15,13,Fall,0,34,0,38.7,0.045,2,401,Social,App,3027.6049999999996,940.25,42.46,0.457,4.64,46-60,Premium,1.1,4,2,2023,84,2023-01,3
C00042,Regular,2023-01-14,44,Female,Education,25000,PhD,Single,3,Product_B,3,16.09,0.043,Credit Card,1446,9402,0.7,25.1,Silver,2.9,7,10,0,1,0.602,0.036,2023-04-05,13,Winter,1,25,0,84.0,0.055,5,85,Social,Online,1383.822,482.0,110.61,0.386,11.91,31-45,High,1.4,4,2,2023,81,2023-01,3
C00043,VIP,2023-02-06,40,Male,Other,32373,High School,Married,2,Product_E,1,13.1,0.21,PayPal,654,1426,0.564,3.6,Bronze,1.0,2,35,1,5,0.123,0.451,2024-01-25,16,Winter,0,32,1,95.7,0.096,0,54,Search,Online,516.66,654.0,26.41,0.553,6.83,31-45,Medium,1.4,1,1,2024,353,2023-02,11
C00044,Regular,2023-10-24,37,Male,Education,25456,Bachelor,Married,2,Product_D,1,173.39,0.187,Bank Transfer,941,9896,0.581,29.6,Silver,1.8,6,73,1,1,0.469,0.305,2023-04-10,15,Summer,0,86,0,79.6,0.088,6,250,Social,Store,765.0329999999999,941.0,39.58,0.592,2.19,31-45,High,0.9,4,2,2023,-197,2023-10,-6
C00045,Regular,2023-12-10,19,Female,Retail,125328,Master,Single,5,Product_E,4,59.84,0.08,Bank Transfer,1051,13737,0.228,10.3,Bronze,1.1,12,34,1,1,0.154,0.072,2024-01-03,16,Spring,0,12,1,93.4,0.018,3,95,Referral,Online,966.9200000000001,262.75,144.6,0.449,2.52,18-30,High,1.2,1,1,2024,24,2023-12,1
C00046,Regular,2023-01-29,31,Male,Education,44543,PhD,Divorced,1,Product_D,2,55.95,0.319,Bank Transfer,3160,24675,0.559,30.7,Silver,3.2,1,88,1,1,0.337,0.159,2023-12-19,17,Winter,0,70,1,78.3,0.018,2,50,Referral,Online,2151.96,1580.0,493.5,0.501,35.33,31-45,Premium,1.4,12,4,2023,324,2023-01,11
C00047,New,2023-01-18,35,Female,Manufacturing,87259,High School,Single,2,Product_C,3,61.21,0.213,Bank Transfer,899,72380,0.503,43.3,Silver,3.4,7,8,0,1,0.58,0.159,2024-09-10,7,Winter,1,53,1,61.0,0.005,0,50,Search,Online,707.513,299.67,1447.6,0.417,9.04,31-45,Medium,1.4,9,3,2024,601,2023-01,20
C00048,Regular,2023-08-19,57,Female,Other,49072,Bachelor,Married,4,Product_C,1,107.84,0.155,Bank Transfer,574,2538,0.375,7.0,Bronze,1.0,1,21,0,1,0.473,0.315,2023-09-28,16,Fall,0,5,0,94.6,0.025,3,50,Search,Store,485.03,574.0,50.76,0.425,4.3,46-60,Medium,1.1,9,3,2023,40,2023-08,1
C00049,Regular,2023-04-18,47,Male,Manufacturing,26661,Bachelor,Married,5,Product_E,1,72.1,0.103,PayPal,445,15644,0.472,66.1,Gold,3.8,6,10,0,2,0.14,0.152,2023-02-14,17,Fall,0,20,1,25.5,0.044,2,144,Referral,Store,399.165,445.0,108.64,0.282,1.46,46-60,Medium,1.1,2,1,2023,-63,2023-04,-2
C00050,New,2023-09-23,18,Male,Finance,70585,Bachelor,Divorced,3,Product_C,2,55.53,0.11,Bank Transfer,872,29456,0.06,30.9,Silver,2.9,11,4,1,0,0.636,0.037,2024-04-15,15,Winter,1,11,0,78.2,0.004,13,50,Search,App,776.08,436.0,589.12,0.6,1.05,18-30,Medium,1.4,4,2,2024,205,2023-09,7
C00051,Regular,2023-09-17,46,Female,Finance,25000,High School,Divorced,4,Product_C,4,15.58,0.077,PayPal,2290,5135,0.513,30.0,Silver,2.2,6,5,0,1,0.485,0.064,2024-07-03,12,Spring,0,26,1,79.2,0.012,3,50,Referral,Online,2113.67,572.5,102.7,0.362,23.5,46-60,Premium,1.2,7,3,2024,290,2023-09,10
C00052,Regular,2023-06-13,36,Female,Education,140500,Bachelor,Married,1,Product_B,1,18.94,0.18,PayPal,170,89345,0.042,37.5,Silver,2.9,1,0,1,1,0.332,0.067,2023-05-08,18,Spring,1,40,1,69.7,0.049,0,174,Social,Store,139.4,170.0,513.48,0.52,0.04,31-45,Low,1.2,5,2,2023,-36,2023-06,-1
C00053,Regular,2023-05-12,31,Female,Education,25000,High School,Single,2,Product_B,1,105.79,0.104,Credit Card,1319,16792,0.269,38.6,Silver,3.0,3,62,0,3,0.587,0.23,2024-01-23,20,Winter,1,40,1,68.1,0.008,3,110,Social,App,1181.824,1319.0,152.65,0.411,3.23,31-45,High,1.4,1,1,2024,256,2023-05,8
C00054,Regular,2023-07-20,51,Female,Other,154858,High School,Divorced,1,Product_E,4,19.08,0.376,Bank Transfer,207,17100,0.304,6.9,Bronze,1.0,3,13,1,0,0.693,0.184,2023-03-22,18,Fall,0,40,1,94.6,0.026,3,68,Social,Online,129.168,51.75,251.47,0.656,0.93,46-60,Low,1.1,3,1,2023,-120,2023-07,-4
C00055,New,2023-08-14,57,Male,Education,138747,Master,Married,2,Product_D,1,77.17,0.318,Credit Card,100,3797,0.017,4.2,Bronze,1.0,2,74,1,0,0.351,0.212,2024-07-19,19,Fall,0,27,1,95.5,0.006,10,131,Social,Online,68.19999999999999,100.0,28.98,0.528,0.01,46-60,Low,1.1,7,3,2024,340,2023-08,11
C00056,VIP,2023-12-30,55,Male,Retail,92226,Bachelor,Married,2,Product_E,2,150.32,0.024,Credit Card,3625,36859,0.301,22.5,Bronze,2.8,5,84,1,1,0.525,0.501,2023-10-28,8,Spring,0,180,1,86.2,0.064,2,170,Referral,Phone,3538.0,1812.5,216.82,0.662,6.42,46-60,Premium,1.2,10,4,2023,-63,2023-12,-2
C00057,VIP,2023-04-29,29,Male,Retail,74683,Bachelor,Married,4,Product_C,1,92.02,0.282,Credit Card,877,7993,0.428,16.3,Bronze,1.3,5,2,1,0,0.041,0.395,2024-10-05,11,Summer,1,32,1,90.4,0.173,1,50,Search,App,629.6859999999999,877.0,159.86,0.53,7.51,18-30,Medium,0.9,10,4,2024,525,2023-04,18
C00058,VIP,2023-11-19,37,Male,Finance,88152,High School,Single,3,Product_D,1,480.28,0.064,Bank Transfer,1519,19713,0.312,25.8,Silver,2.9,2,45,0,3,0.738,0.016,2024-09-25,13,Summer,0,14,1,83.4,0.007,2,50,Email,Store,1421.7839999999999,1519.0,394.26,0.402,9.48,31-45,High,0.9,9,3,2024,311,2023-11,10
C00059,VIP,2023-06-08,46,Non-binary,Other,42680,Bachelor,Married,5,Product_E,2,17.92,0.132,Credit Card,2472,4779,0.145,16.6,Bronze,2.4,4,27,1,0,0.346,0.245,2024-01-06,11,Winter,0,25,1,90.3,0.071,0,125,Direct,Online,2145.696,1236.0,38.23,0.563,2.87,46-60,Premium,1.4,1,1,2024,212,2023-06,7
C00060,VIP,2023-09-12,56,Female,IT,65321,Bachelor,Married,1,Product_C,1,53.21,0.257,PayPal,2959,25270,0.635,32.4,Silver,3.3,3,10,1,6,0.384,0.137,2024-08-14,12,Fall,0,25,0,76.4,0.102,0,185,Direct,Store,2198.537,2959.0,136.59,0.551,10.16,46-60,Premium,1.1,8,3,2024,337,2023-09,11
C00061,Regular,2023-05-25,34,Non-binary,Finance,76705,High School,Divorced,1,Product_A,1,35.24,0.286,PayPal,1146,16873,0.253,19.4,Bronze,1.2,5,20,0,0,0.398,0.049,2023-07-16,10,Fall,0,76,1,88.5,0.039,8,237,Direct,Online,818.2439999999999,1146.0,71.19,0.323,1.22,31-45,High,1.1,7,3,2023,52,2023-05,2
C00062,New,2023-05-05,39,Male,Manufacturing,43124,Master,Married,1,Product_C,1,107.91,0.151,PayPal,333,12289,0.526,42.7,Silver,3.0,3,32,0,1,0.414,0.181,2024-12-22,13,Fall,0,180,1,61.9,0.127,1,101,Email,Store,282.717,333.0,121.67,0.361,1.73,31-45,Low,1.1,12,4,2024,597,2023-05,19
C00063,Regular,2023-07-25,25,Male,Finance,50779,Bachelor,Single,1,Product_B,1,47.73,0.2,Digital Wallet,265,17055,0.36,37.7,Silver,1.0,1,97,0,0,0.501,0.319,2023-03-13,19,Spring,1,54,1,69.4,0.088,10,114,Search,App,212.0,265.0,149.61,0.393,0.84,18-30,Low,1.2,3,1,2023,-134,2023-07,-4
C00064,VIP,2023-10-21,24,Female,Healthcare,76695,Master,Married,7,Product_B,1,115.85,0.255,Digital Wallet,1147,12552,0.159,11.8,Bronze,1.1,5,3,0,0,0.409,0.175,2023-02-16,19,Winter,1,71,1,92.7,0.051,0,223,Search,Store,854.515,1147.0,56.29,0.374,0.82,18-30,High,1.4,2,1,2023,-247,2023-10,-8
C00065,New,2023-04-29,54,Female,Retail,32680,Bachelor,Widowed,2,Product_C,1,79.03,0.444,PayPal,217,14703,0.614,59.0,Gold,2.7,9,32,0,0,0.808,0.136,2024-11-08,19,Spring,0,12,0,35.4,0.042,5,121,Direct,Online,120.65200000000002,217.0,121.51,0.466,1.1,46-60,Low,1.2,11,4,2024,559,2023-04,19
C00066,Regular,2023-10-21,62,Female,Retail,88382,Master,Single,2,Product_C,5,53.73,0.182,PayPal,211,4706,0.301,9.1,Bronze,1.1,1,34,0,1,0.762,0.007,2023-08-22,18,Fall,0,7,0,93.9,0.032,0,98,Search,Online,172.598,42.2,48.02,0.412,0.65,60+,Low,1.1,8,3,2023,-60,2023-10,-2
C00067,New,2023-11-22,40,Female,Education,43435,High School,Married,1,Product_C,5,39.01,0.532,Credit Card,518,4087,0.278,7.6,Bronze,1.0,2,4,1,0,0.295,0.456,2023-10-24,18,Fall,1,102,1,94.4,0.177,0,94,Social,Online,242.42399999999998,103.6,43.48,0.623,1.53,31-45,Medium,1.1,10,4,2023,-29,2023-11,-1
C00068,New,2023-01-17,57,Female,Other,64056,High School,Married,3,Product_E,4,97.59,0.104,PayPal,2545,45116,0.317,39.0,Silver,3.4,7,22,0,0,0.438,0.53,2023-03-23,15,Winter,0,38,1,67.6,0.001,11,50,Search,App,2280.32,636.25,902.32,0.478,16.14,46-60,Premium,1.4,3,1,2023,65,2023-01,2
C00069,Regular,2023-10-11,47,Female,Retail,37836,High School,Married,3,Product_B,1,196.89,0.231,Bank Transfer,143,19576,0.883,42.8,Silver,2.7,12,1,1,0,0.455,0.646,2023-08-27,14,Winter,0,25,0,61.7,0.041,17,124,Search,Online,109.967,143.0,157.87,0.73,1.02,46-60,Low,1.4,8,3,2023,-45,2023-10,-2
C00070,Regular,2023-11-06,32,Male,Retail,131227,Bachelor,Single,1,Product_C,1,51.77,0.142,Credit Card,2237,117350,0.733,45.2,Silver,3.7,2,32,1,1,0.279,0.172,2023-04-14,15,Summer,0,10,0,57.9,0.0,3,101,Social,Online,1919.346,2237.0,1161.88,0.518,16.23,31-45,Premium,0.9,4,2,2023,-206,2023-11,-7
C00071,Regular,2023-05-22,47,Female,Other,25000,PhD,Single,2,Product_E,2,74.5,0.087,Bank Transfer,2661,10731,0.805,31.6,Silver,3.5,3,60,1,2,0.492,0.17,2024-01-25,10,Winter,0,45,1,77.3,0.004,10,50,Referral,Online,2429.493,1330.5,214.62,0.566,42.84,46-60,Premium,1.4,1,1,2024,248,2023-05,8
